city,country,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed
punta arenas,CL,-53.15,-70.9167,46.2,81,90,19.57
busselton,AU,-33.65,115.3333,78.51,48,0,4.0
ilulissat,GL,69.2167,-51.1,-0.4,55,0,4.61
atuona,PF,-9.8,-139.0333,78.46,80,11,17.34
sao jose da coroa grande,BR,-8.8978,-35.1478,77.88,83,100,11.1
butaritari,KI,3.0707,172.7902,80.53,80,100,15.86
thompson,CA,55.7435,-97.8558,10.4,85,90,5.75
beyneu,KZ,45.3167,55.2,31.87,97,52,5.12
bassar,TG,9.25,0.7833,70.86,26,0,1.97
saskylakh,RU,71.9167,114.0833,-38.6,76,0,2.42
albany,US,42.6001,-73.9662,9.3,50,6,8.01
lebu,CL,-37.6167,-73.65,57.04,90,96,6.06
rogovskaya,RU,45.7312,38.7396,37.98,79,95,12.86
hithadhoo,MV,-0.6,73.0833,81.64,76,42,12.86
yellowknife,CA,62.456,-114.3525,-18.13,76,1,9.22
san onofre,CO,9.7359,-75.5263,75.24,78,65,10.69
shetpe,KZ,44.1667,52.1167,29.66,95,0,5.06
arraial do cabo,BR,-22.9661,-42.0278,77.09,83,96,25.77
kirando,TZ,-7.4167,30.6,71.47,72,99,4.45
barrow,US,71.2906,-156.7887,-9.4,70,90,10.36
hobart,AU,-42.8794,147.3294,67.96,60,75,11.5
rikitea,PF,-23.1203,-134.9692,80.47,70,31,9.06
puerto ayora,EC,-0.7393,-90.3518,79.0,91,43,7.0
norman wells,CA,65.282,-126.8329,-34.6,67,40,4.52
bredasdorp,ZA,-34.5322,20.0403,61.0,92,93,4.03
ivdel,RU,60.6911,60.4206,-12.26,89,100,6.29
vaini,TO,-21.2,-175.2,80.6,89,90,19.24
bukama,CD,-9.2,25.85,67.15,92,63,1.88
avarua,CK,-21.2078,-159.775,84.2,74,20,5.75
tasiilaq,GL,65.6145,-37.6368,15.8,53,90,25.32
airai,TL,-8.9266,125.4092,63.9,100,100,4.07
severo-kurilsk,RU,50.6789,156.125,24.76,90,100,16.06
menongue,AO,-14.6585,17.691,61.27,95,74,3.74
avera,US,33.194,-82.5271,33.82,75,1,3.44
cape town,ZA,-33.9258,18.4232,65.97,88,40,4.61
hermanus,ZA,-34.4187,19.2345,61.0,92,71,4.16
susaki,JP,33.3667,133.2833,44.6,42,20,5.75
pudozh,RU,61.8099,36.5345,18.73,97,100,6.06
lompoc,US,34.6391,-120.4579,43.86,93,1,2.04
divnomorskoye,RU,44.5011,38.1353,44.08,74,76,17.22
dublin,US,37.7021,-121.9358,46.63,71,20,3.44
verkhnyaya inta,RU,65.9811,60.3094,-4.05,84,100,18.79
tomatlan,MX,19.9333,-105.25,76.59,42,2,5.46
qaanaaq,GL,77.484,-69.3632,-13.36,62,0,5.57
ushuaia,AR,-54.8,-68.3,42.8,75,75,17.27
longyearbyen,SJ,78.2186,15.6401,-0.4,50,20,19.57
bluff,NZ,-46.6,168.3333,54.25,74,0,15.1
katsuura,JP,35.1333,140.3,45.99,31,20,14.97
nikolskoye,RU,59.7035,30.7861,28.58,93,90,8.95
kodiak,US,57.79,-152.4072,35.6,64,75,21.85
tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,1,2.3
caravelas,BR,-17.7125,-39.2481,74.88,87,0,4.43
